epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9562,1.52511,3.61749,1.46249,0.00609,0.77788,0.16171,0.04437,0.81473,3.47631,1.0176,0.000273115,0.000273115,0.000273115
2,50.7889,1.42165,2.56639,1.39766,0.51163,0.49346,0.50699,0.30622,1.02736,2.03149,1.14013,0.000539876,0.000539876,0.000539876
3,65.6624,1.36944,2.21742,1.35629,0.70699,0.51723,0.60351,0.31506,1.46906,1.6902,1.45637,0.000795642,0.000795642,0.000795642
4,80.3314,1.37483,2.00037,1.39267,0.79029,0.53838,0.65329,0.51068,0.92216,1.51258,1.07044,0.00078352,0.00078352,0.00078352
5,95.627,1.3423,1.86341,1.3578,0.77921,0.73277,0.76422,0.56717,0.8406,1.12178,1.01562,0.000767026,0.000767026,0.000767026
6,110.416,1.28111,1.77621,1.34665,0.75388,0.79346,0.79511,0.63537,0.72509,1.13732,0.97486,0.000750533,0.000750533,0.000750533
7,125.33,1.27026,1.68914,1.33865,0.88669,0.79116,0.88273,0.71136,0.73819,0.92421,1.00536,0.00073404,0.00073404,0.00073404
8,140.242,1.20032,1.60943,1.28955,0.91662,0.65677,0.82269,0.67208,0.70855,1.01389,0.98601,0.000717546,0.000717546,0.000717546
9,155.197,1.21094,1.55399,1.29453,0.95169,0.72006,0.88252,0.70399,0.70989,0.8799,0.99123,0.000701053,0.000701053,0.000701053
10,169.91,1.16352,1.45239,1.26927,0.90516,0.79419,0.94063,0.76339,0.69492,0.83217,0.98149,0.000684559,0.000684559,0.000684559
11,184.994,1.14738,1.39412,1.26994,0.86494,0.82163,0.95173,0.77337,0.65507,0.84204,0.93825,0.000668066,0.000668066,0.000668066
12,199.974,1.12702,1.34908,1.23864,0.91161,0.74339,0.8431,0.71871,0.63731,0.75825,0.93305,0.000651573,0.000651573,0.000651573
13,214.063,1.12009,1.30554,1.24717,0.92785,0.82038,0.8502,0.63187,0.87954,0.75086,1.09403,0.000635079,0.000635079,0.000635079
14,228.516,1.13576,1.31667,1.24651,0.8696,0.79838,0.84177,0.68683,0.66236,0.73684,0.96414,0.000618586,0.000618586,0.000618586
15,242.592,1.17336,1.30619,1.2872,0.8687,0.81395,0.84848,0.67919,0.68336,0.77971,0.95617,0.000602092,0.000602092,0.000602092
16,256.768,1.0983,1.21067,1.23192,0.83706,0.83346,0.89542,0.7396,0.67072,0.7015,0.95052,0.000585599,0.000585599,0.000585599
17,271.013,1.07458,1.20244,1.23422,0.88532,0.79451,0.85857,0.69844,0.70749,0.64437,0.95812,0.000569106,0.000569106,0.000569106
18,285.555,1.04853,1.12901,1.21649,0.91547,0.81516,0.89951,0.7672,0.62463,0.64897,0.93201,0.000552612,0.000552612,0.000552612
19,300.211,1.01646,1.07686,1.19788,0.94536,0.80565,0.96089,0.79594,0.69635,0.66743,0.9754,0.000536119,0.000536119,0.000536119
20,315.019,1.02623,1.06768,1.20475,0.88409,0.81058,0.96639,0.82086,0.57366,0.56923,0.90978,0.000519625,0.000519625,0.000519625
21,329.937,1.0222,1.0695,1.2112,0.90842,0.80041,0.89724,0.72548,0.73172,0.62148,0.96961,0.000503132,0.000503132,0.000503132
22,344.329,1.0159,1.0526,1.19535,0.91762,0.81982,0.91085,0.77314,0.59795,0.56046,0.91959,0.000486639,0.000486639,0.000486639
